timestamp,symbol,side,qty,price,order_id,status,mode,notes
2025-10-28T00:21:00.941523,AAPL,buy,51,268.80999755859375,,error,live,invalid take_profit.limit_price 280.20143127441406. sub-penny increment does not fulfill minimum pricing criteria
2025-10-28T00:21:01.452131,MSFT,buy,37,531.52001953125,,error,live,invalid take_profit.limit_price 546.32859148298. sub-penny increment does not fulfill minimum pricing criteria
2025-10-28T00:21:01.772272,NVDA,buy,75,191.49000549316406,,error,live,invalid take_profit.limit_price 203.28072248186385. sub-penny increment does not fulfill minimum pricing criteria
2025-10-28T00:21:02.100392,AMZN,buy,88,226.97000122070312,,error,live,invalid take_profit.limit_price 238.18143136160714. sub-penny increment does not fulfill minimum pricing criteria
2025-10-28T00:21:02.503669,GOOGL,buy,42,269.2699890136719,,error,live,invalid take_profit.limit_price 282.9999760219029. sub-penny increment does not fulfill minimum pricing criteria
2025-10-28T00:24:46.953151,AAPL,buy,51,268.80999755859375,,error,live,invalid take_profit.limit_price 280.20143127441406. sub-penny increment does not fulfill minimum pricing criteria
2025-10-28T00:24:47.355537,MSFT,buy,37,531.52001953125,,error,live,invalid take_profit.limit_price 546.32859148298. sub-penny increment does not fulfill minimum pricing criteria
2025-10-28T00:24:47.669243,NVDA,buy,75,191.49000549316406,,error,live,invalid take_profit.limit_price 203.28072248186385. sub-penny increment does not fulfill minimum pricing criteria
2025-10-28T00:24:47.989550,AMZN,buy,88,226.97000122070312,,error,live,invalid take_profit.limit_price 238.18143136160714. sub-penny increment does not fulfill minimum pricing criteria
2025-10-28T00:24:48.373197,GOOGL,buy,42,269.2699890136719,,error,live,invalid take_profit.limit_price 282.9999760219029. sub-penny increment does not fulfill minimum pricing criteria
2025-10-27T23:34:15.052053,AAPL,buy,51,268.80999755859375,81d5f9c9-0331-4e13-bf11-832a0ff3c066,submitted,live,bracket order placed (live)
2025-10-27T23:34:15.460695,MSFT,buy,37,531.52001953125,d4488607-2796-4a91-a3db-cbc4f9d11057,submitted,live,bracket order placed (live)
2025-10-28T00:34:15.880568,NVDA,buy,75,191.49000549316406,,error,live,client_order_id must be unique
2025-10-27T23:34:16.284277,AMZN,buy,88,226.97000122070312,48f649bf-9db1-4f8d-9bfb-6c00d38347ee,submitted,live,bracket order placed (live)
2025-10-28T00:34:16.690854,GOOGL,buy,42,269.2699890136719,,error,live,client_order_id must be unique
2025-10-28T00:57:16.127148,AAPL,buy,51,268.80999755859375,,error,live,place_bracket_order() got an unexpected keyword argument 'client_order_id'
2025-10-28T00:57:16.355223,MSFT,buy,37,531.52001953125,,error,live,place_bracket_order() got an unexpected keyword argument 'client_order_id'
2025-10-28T00:57:16.652091,NVDA,buy,75,191.49000549316406,,error,live,place_bracket_order() got an unexpected keyword argument 'client_order_id'
2025-10-28T00:57:16.958879,AMZN,buy,88,226.97000122070312,,error,live,place_bracket_order() got an unexpected keyword argument 'client_order_id'
2025-10-28T00:57:17.254380,GOOGL,buy,42,269.2699890136719,,error,live,place_bracket_order() got an unexpected keyword argument 'client_order_id'
2025-10-28T00:58:30.508857,AAPL,buy,51,268.80999755859375,f3df2a03-67f6-4a94-b9db-21385d1e4ae6,submitted,live,bracket order placed (live)
2025-10-28T00:58:30.994076,MSFT,buy,37,531.52001953125,aabb42bf-8a43-4786-aad8-77d8ed38629a,submitted,live,bracket order placed (live)
2025-10-28T00:58:31.402052,NVDA,buy,75,191.49000549316406,f6b2258c-1aaf-4b14-a135-2ba5980d2983,submitted,live,bracket order placed (live)
2025-10-28T00:58:31.910878,AMZN,buy,88,226.97000122070312,c2dcc84f-145a-443c-afaa-612f2b754781,submitted,live,bracket order placed (live)
2025-10-28T00:58:32.429599,GOOGL,buy,42,269.2699890136719,88f24d29-be6b-4870-93fe-bc1e62575a75,submitted,live,bracket order placed (live)
